Player,Team,Position,DRS,INF GB Runs,GB Chances,DP Runs (Start),DP Runs (Pivot),IFFB Runs,Bunt Runs,OF Flyball Runs,FB Chances,OF Arm Runs,Framing Runs Saved,Pitches Framed,Blocking Runs,Stolen Base Runs,Pickoff Runs,Throwing Runs,Hometown,Age,Height,Weight,Class,Jersey,newestTeamName,newestTeamAbbrevName,newestTeamLocation,newestTeamLevel
Brennan Seiber,Vanderbilt|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/vanderbilt.svg,P,0.10,0.22,4,0.09,-,-,-0.21,-,0,-,-,,-,-,-,-,"Newport Beach, CA, US",21,"6' 6""",240,JR,34,Vanderbilt University,VAN,Vanderbilt,BBC
Kincaid Bergthold,Stony Brook|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/stony-brook.svg,P,0.10,-,0,-,-,-,0.10,-,0,-,-,,-,-,-,-,"Tucson, AZ, US",21,"6' 3""",210,R-SO,37,Stony Brook University,STON,Stony Brook,BBC
Sebastian Paz,Gardner-Webb|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/gardner-webb.svg,3B,0.10,0.55,1,0.12,-,-,-0.56,-,0,-,-,,-,-,-,-,"Miami, FL, US",0,"5' 10""",190,SR,32,Gardner Webb University,WEBB,Gardner Webb,BBC
Cole Stefano,Towson|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/towson.svg,2B,0.10,0.14,1,-,-0.04,-,-,-,0,-,-,,-,-,-,-,"Boynton Beach, FL, US",0,"6' 2""",175,SR,1,Towson University,TOWS,Towson,BBC
Garret Garbinski,Connecticut|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uconn.svg,P,0.10,0.14,2,-0.03,0.00,-,-,-,0,-,-,,-,-,-,-,"Clinton, CT, US",0,"5' 11""",0,R-JR,22,University of Connecticut,CONN,Connecticut,BBC
Cade O'Hara,Cal State Fullerton|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-st-fullerton.svg,P,0.10,-,0,-,-,-,0.10,-,0,-,-,,-,-,-,-,"Tustin, CA, US",0,"5' 11""",0,JR,50,Cal State Fullerton,CSF,CSU Fullerton,BBC
Zach Broderick,Merrimack|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/merrimack.svg,P,0.10,0.06,1,-,-,-,0.03,-,0,-,-,,-,-,-,-,"Fairfield, CT, US",0,"6' 1""",0,SR,25,Merrimack College,MRMK,Merrimack,BBC
Gavin Balius,Ball State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ball-st.svg,LF,0.10,-,0,-,-,-,-,0.10,2,-,-,,-,-,-,-,"Flushing, MI, US",22,"6' 1""",161,SR,4,Ball State University,BALL,Ball State,BBC
Edyn Barber,Alabama A&M|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alabama-am.svg,P,0.10,-,0,-,-,-,0.10,-,0,-,-,,-,-,-,-,"Crankbrook, British Columbia, CAN",0,"6' 4""",215,R-JR,28,Alabama A&M University,AAMU,Alabama A&M,BBC
Nate Gray,BYU|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/byu.svg,P,0.10,0.66,3,-,-,-,-0.56,-,0,-,-,,-,-,-,-,"Queen Creek, AZ, US",0,"6' 6""",225,JR,21,Brigham Young University,BYU,BYU,BBC
Cooper Reese,New Mexico State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/new-mexico-st.svg,P,0.10,0.10,1,-,-,-,-,-,0,-,-,,-,-,-,-,"Coeur dAlene, ID, US",0,"6' 2""",190,SO,8,New Mexico State University,NMSU,New Mexico State,BBC
Max Hartmann,Lamar|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/lamar.svg,P,0.10,-,0,-,-,-,0.10,-,0,-,-,,-,-,-,-,"Windsor, MO, US",0,"6' 3""",185,,45,Lamar University,LAM,Lamar,BBC
Ryan Bibb,Navy|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/navy.svg,P,0.10,0.10,1,-,-,-,-,-,0,-,-,,-,-,-,-,"Mascoutah, IL, US",22,"6' 2""",215,JR,44,U.S. Naval Academy,NAVY,Navy,BBC
John Bureau,Stonehill|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/stonehill.svg,1B,0.10,0.13,3,-,-0.03,-,-,-,0,-,-,,-,-,-,-,"East Lyme, CT, US",0,"6' 1""",190,JR,33,Stonehill College,SC,Stonehill,BBC
