Player,Team,Position,DRS,INF GB Runs,GB Chances,DP Runs (Start),DP Runs (Pivot),IFFB Runs,Bunt Runs,OF Flyball Runs,FB Chances,OF Arm Runs,Framing Runs Saved,Pitches Framed,Blocking Runs,Stolen Base Runs,Pickoff Runs,Throwing Runs,Hometown,Age,Height,Weight,Class,Jersey,newestTeamName,newestTeamAbbrevName,newestTeamLocation,newestTeamLevel
Brodie Johnston,Vanderbilt|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/vanderbilt.svg,2B,1.20,1.00,10,-0.01,0.17,0.03,-,-,0,-,-,,-,-,-,-,"Ooltewah, TN, US",20,"6' 2""",203,SO,9,Vanderbilt University,VAN,Vanderbilt,BBC
Ty Allen,Minnesota|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/minnesota.svg,LF,1.20,-,0,-,-,-,-,-0.73,51,1.93,-,,-,-,-,-,"Franklin, TN, US",22,"5' 10""",180,JR,16,University of Minnesota,MINN,Minnesota,BBC
Dylan Dubovik,Miami|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/miami-fl.svg,LF,1.20,-,0,-,-,-,-,-1.56,58,2.77,-,,-,-,-,-,"Coral Springs, FL, US",0,"6' 4""",205,FR,47,University of Miami,MIA,Miami,BBC
Bryce Molinaro,Penn State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/penn-st.svg,3B,1.20,1.65,48,0.04,-,-,-0.49,-,0,-,-,,-,-,-,-,"Drums, PA, US",22,"6' 0""",190,R-JR,23,Penn State University,PSU,Penn State,BBC
Jarvis Evans,Purdue|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/purdue.svg,P,1.20,1.10,5,0.11,-,-,-,-,0,-,-,,-,-,-,-,"Buford, GA, US",23,"6' 4""",216,SR,23,Purdue University,PUR,Purdue,BBC
Aiden Stewart,Indiana|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/indiana.svg,2B,1.20,1.05,14,0.10,0.05,-,-,-,0,-,-,,-,-,-,-,"Victor, NY, US",21,"5' 10""",185,SR,8,"Indiana University, Bloomington",IND,Indiana,BBC
Beau Brailey,Campbell|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/campbell.svg,P,1.19,-0.09,4,-0.02,-,-,1.29,-,0,-,-,,-,-,-,-,"Hoschton, GA, US",0,"6' 3""",210,R-SO,43,Campbell University,CAMP,Campbell,BBC
Jamal George,Missouri|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/missouri.svg,C,1.19,0.10,1,-,-,-,-,-,0,-,1.68,152,-0.54,-0.04,-,-0.04,"Trujillo Alto, PR",22,"5' 11""",185,SR,21,University of Missouri,MIZZ,Missouri,BBC
Miguel Hugas,Mercer|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/mercer.svg,P,1.19,0.16,9,0.11,-,-,0.92,-,0,-,-,,-,-,-,-,"Caracas, VE",0,"6' 3""",205,JR,21,Mercer University,MER,Mercer,BBC
Evan Chaffee,St. John's|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/st-johns-ny.svg,P,1.19,0.38,13,-0.06,-,-,0.86,-,0,-,-,,-,-,-,-,"Hamburg, NY, US",0,"6' 2""",185,R-JR,18,St. John's University (NY),SJU,St. John's,BBC
Jacob Grimes,Queens (NC)|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/queens-nc.svg,LF,1.19,-,0,-,-,-,-,1.19,39,-,-,,-,-,-,-,"Raleigh, NC, US",0,"6' 2""",175,JR,17,Queens University of Charlotte,QUC,Queens University of Charlotte,BBC
Luca DiPaolo,Gonzaga|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/gonzaga.svg,C,1.19,-,0,-,-0.02,-,-0.82,-,0,-,0.67,245,1.51,-0.16,-,-0.16,"La Canada, CA, US",22,"6' 0""",210,SR,34,Gonzaga University,GONZ,Gonzaga,BBC
Jonathan Fleaka,Central Michigan|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/central-mich.svg,2B,1.19,0.95,20,0.13,0.10,0.01,-,-,0,-,-,,-,-,-,-,"Lake Zurich, IL, US",0,"5' 10""",180,R-FR,19,Central Michigan University,CMU,Central Michigan,BBC
Rhyder Poppell,The Citadel|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/citadel.svg,RF,1.19,-,0,-,-,-,-,1.19,21,-,-,,-,-,-,-,"Tallahassee, FL, US",0,"5' 10""",220,SO,30,The Citadel,CIT,The Citadel,BBC
Jay Campbell,Florida A&M|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/florida-am.svg,3B,1.19,2.43,66,0.39,-0.08,-0.35,-1.20,-,0,-,-,,-,-,-,-,"Tallahassee, FL, US",20,"5' 11""",200,SO,10,Florida A&M University,FAMU,Florida A&M,BBC
Stormy Rhodes,Oklahoma State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/oklahoma-st.svg,P,1.19,0.94,8,-,-,-,0.25,-,0,-,-,,-,-,-,-,"Kerrville, TX, US",21,"6' 4""",185,SO,19,Oklahoma State University,OKST,Oklahoma State,BBC
Jackson Marshall,Connecticut|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uconn.svg,1B,1.19,1.69,38,-0.04,0.43,-0.34,-0.54,-,0,-,-,,-,-,-,-,"Hooksett, NH, US",0,"6' 8""",260,SO,31,University of Connecticut,CONN,Connecticut,BBC
Preston Lucas,USC Upstate|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/usc-upstate.svg,C,1.19,-,0,-,-,-,0.09,-,0,-,-0.20,348,1.76,-0.46,0.00,-0.46,"Phoenix, AZ, US",0,"5' 11""",185,SR,12,University of South Carolina Upstate,SCUS,South Carolina Upstate,BBC
Isaiah Ibarra,USC|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-california.svg,C,1.19,-,0,-,-,-,0.09,-,0,-,1.11,113,-0.02,-,-,-,"West Covina, CA, US",0,"6' 0""",205,FR,18,University of Southern California,USC,USC,BBC
Peyton Jemison,Connecticut|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uconn.svg,3B,1.19,0.90,10,0.11,-,-,0.19,-,0,-,-,,-,-,-,-,"Monroe, NY, US",0,"6' 0""",195,R-SO,19,University of Connecticut,CONN,Connecticut,BBC
Chris Diprima,Yale|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/yale.svg,1B,1.19,0.96,8,-0.01,0.00,0.07,0.16,-,0,-,-,,-,-,-,-,"San Diego, CA, US",0,"5' 10""",185,JR,24,Yale University,YALE,Yale,BBC
Isaac Sturgess,Michigan State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/michigan-st.svg,RF,1.19,-,0,-,-,-,-,-1.39,47,2.58,-,,-,-,-,-,"Davison, MI, US",0,"6' 2""",182,SO,8,Michigan State University,MSU,Michigan State,BBC
Alex Jang,Youngstown State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/youngstown-st.svg,2B,1.19,1.26,38,0.04,0.22,-0.34,-,-,0,-,-,,-,-,-,-,"Las Vegas, NV, US",0,"5' 9""",170,FR,1,Youngstown State University,YSU,Youngstown State,BBC
Max Humphrey,Kent State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/kent-st.svg,LF,1.18,-,0,-,-,-,-,1.18,25,-,-,,-,-,-,-,"Mount Pleasant, MI, US",0,"6' 1""",200,R-SO,16,Kent State University,KENT,Kent State,BBC
Aubrey Moraitakis,Belmont|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/belmont.svg,P,1.18,-,0,-,-,-,1.18,-,0,-,-,,-,-,-,-,"Roswell, GA, US",0,"5' 10""",180,JR,23,Belmont University,BEL,Belmont,BBC
Talan Kelly,Utah Tech|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/utah-tech.svg,P,1.18,0.57,4,-,-,-,0.61,-,0,-,-,,-,-,-,-,"Santa Clara, UT, US",0,"5' 11""",200,SO,11,Utah Tech University,UTU,Utah Tech,BBC
Cross Yarborough,Charleston Southern|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/charleston-so.svg,C,1.18,-,0,-,-,-,-,-,0,-,0.52,35,0.66,-,0.00,0.00,"Aiken, SC, US",0,"6' 0""",190,FR,18,Charleston Southern University,CHSO,Charleston Southern,BBC
Tyler Kapa,Virginia|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/virginia.svg,P,1.18,0.51,3,-0.03,-,-,0.70,-,0,-,-,,-,-,-,-,"Waterford, MI, US",22,"6' 2""",195,GRAD,40,University of Virginia,UVA,Virginia,BBC
Beny Bikar Jr.,Southern|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-u.svg,SS,1.18,0.24,87,0.49,0.36,0.09,-,-,0,-,-,,-,-,-,-,,,,,,3,Southern University,SOU,Southern,BBC
Greg Guzik II,Central Michigan|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/central-mich.svg,3B,1.18,1.21,8,-,-0.02,-,-,-,0,-,-,,-,-,-,-,"Macomb, MI, US",23,"5' 11""",210,R-SR,30,Central Michigan University,CMU,Central Michigan,BBC
Krew Bond,Saint Louis|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/saint-louis.svg,RF,1.18,-,0,-,-,-,-,1.18,94,-,-,,-,-,-,-,"Mendota, IL, US",0,"5' 9""",190,JR,6,Saint Louis University,SLU,St. Louis,BBC
Brady Hamilton,Wichita State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/wichita-st.svg,P,1.18,0.95,13,0.08,-,-,0.15,-,0,-,-,,-,-,-,-,"Edmond, OK, US",20,"6' 2""",195,JR,44,Wichita State University,WICH,Wichita State,BBC
Dom Krupinski,Miami (OH)|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/miami-oh.svg,3B,1.18,1.08,52,0.21,-0.02,0.05,-0.14,-,0,-,-,,-,-,-,-,"Livonia, MI, US",22,"5' 10""",180,SR,10,Miami University (Ohio),M-OH,Miami (OH),BBC
Cider Canon,Duke|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/duke.svg,C,1.18,-,0,-,-0.03,-,0.09,-,0,-,0.65,179,0.48,-0.02,0.00,-0.02,"San Marino, CA, US",21,"5' 11""",175,JR,17,Duke University,DUKE,Duke,BBC
Mikiah Negrete,Cal State Fullerton|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-st-fullerton.svg,P,1.18,-0.08,4,-,-,-,1.26,-,0,-,-,,-,-,-,-,"Oceanside, CA, US",22,"6' 1""",205,SR,4,Cal State Fullerton,CSF,CSU Fullerton,BBC
Eric Nachtsheim,McNeese|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/mcneese.svg,P,1.18,1.10,8,-0.08,-,-,0.16,-,0,-,-,,-,-,-,-,"Reno, NV, US",0,"6' 4""",235,SR,25,McNeese State University,MCNS,McNeese State,BBC
Kelvin Agosto,Gardner-Webb|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/gardner-webb.svg,LF,1.17,-,0,-,-,-,-,0.61,80,0.56,-,,-,-,-,-,"Vega Baja, PR",22,"5' 10""",185,R-SR,23,Gardner Webb University,WEBB,Gardner Webb,BBC
Ty Roman,Louisiana|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/la-lafayette.svg,P,1.17,1.09,7,-,-,-,0.08,-,0,-,-,,-,-,-,-,"Diboll, TX, US",0,"6' 3""",215,JR,11,University of Louisiana at Lafayette,ULL,Louisiana,BBC
Elias Holbert,VCU|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/vcu.svg,P,1.17,1.13,11,-0.02,-,-,0.06,-,0,-,-,,-,-,-,-,"Sherwood, OR, US",0,"6' 4""",0,R-SR,42,Virginia Commonwealth University,VCU,VCU,BBC
Kelly Crumpton,North Alabama|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/north-ala.svg,P,1.17,0.29,3,-,-,-,0.88,-,0,-,-,,-,-,-,-,"Jackson, MS, US",24,"6' 3""",182,SR,19,University of North Alabama,UNA,North Alabama,BBC
Tyshon Patty,Jackson State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/jackson-st.svg,3B,1.17,0.95,18,-0.06,-,-,0.27,-,0,-,-,,-,-,-,-,"Atlanta, GA, US",21,"6' 0""",185,JR,18,Jackson State University,JKST,Jackson State,BBC
Drew Bugner,Wichita State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/wichita-st.svg,2B,1.17,0.96,10,-,0.20,0.01,-,-,0,-,-,,-,-,-,-,"Wichita, KS, US",0,"6' 2""",185,SR,13,Wichita State University,WICH,Wichita State,BBC
Vinny Salvione,Bowling Green|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bowling-green.svg,1B,1.17,1.22,11,-0.01,-0.04,-,-,-,0,-,-,,-,-,-,-,"Milwaukie, OR, US",0,"6' 0""",0,JR,23,Bowling Green State University,BGSU,Bowling Green,BBC
Blake Kimball,Southern Illinois|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-ill.svg,P,1.17,0.29,3,-0.03,-,-,0.91,-,0,-,-,,-,-,-,-,"Tolono, IL, US",0,"6' 1""",185,SR,35,Southern Illinois University,SIU,Southern Illinois,BBC
Tate Hickman,Sam Houston State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/sam-houston-st.svg,P,1.17,0.34,5,-0.02,-,-,0.85,-,0,-,-,,-,-,-,-,"Chester, TX, US",20,"6' 4""",200,SO,32,Sam Houston State University,SHSU,Sam Houston State,BBC
Joey Canzoni,Saint Louis|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/saint-louis.svg,2B,1.17,0.96,12,0.00,0.20,0.01,-,-,0,-,-,,-,-,-,-,"Cleveland, OH, US",0,"5' 11""",0,R-SO,4,Saint Louis University,SLU,St. Louis,BBC
JR Fordham,Longwood|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/longwood.svg,P,1.17,0.27,2,-0.01,-,-,0.92,-,0,-,-,,-,-,-,-,"Chester, GA, US",22,"5' 10""",190,SR,27,Longwood University,LONG,Longwood,BBC
Lucas Schermer,UC Irvine|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uc-irvine.svg,3B,1.17,0.97,25,-0.01,-,-0.74,0.95,-,0,-,-,,-,-,-,-,"Hermosa Beach, CA, US",0,"6' 3""",198,,31,UC Irvine,UCI,UC Irvine,BBC
Jacob Green,USF|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/south-fla.svg,LF,1.17,-,0,-,-,-,-,1.17,16,-,-,,-,-,-,-,"St Petersburg, FL, US",22,"6' 1""",194,SR,6,University of South Florida,USF,South Florida,BBC
Josh Campbell,Michigan|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/michigan.svg,LF,1.16,-,0,-,-,-,-,1.16,20,-,-,,-,-,-,-,"Bloomfield Hills, MI, US",0,"5' 10""",188,FR,36,University of Michigan,MICH,Michigan,BBC
Peyton Richards,Pacific|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/pacific.svg,CF,1.16,-,0,-,-,-,-,0.99,29,0.16,-,,-,-,-,-,"Livermore, CA, US",0,"6' 3""",210,FR,10,University of the Pacific,PAC,Pacific,BBC
Brady Janusek,Baylor|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/baylor.svg,RF,1.16,-,0,-,-,-,-,-0.07,186,1.24,-,,-,-,-,-,"Argyle, TX, US",0,"6' 4""",204,FR,9,Baylor University,BAY,Baylor,BBC
JJ Parsons,UNC Greensboro|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/unc-greensboro.svg,C,1.16,-,0,-,-,-,-,-,0,-,-0.12,213,1.88,-0.33,-0.26,-0.59,"Jamestown, NC, US",0,"5' 11""",170,SO,5,UNC Greensboro,UNCG,UNC Greensboro,BBC
Brant Stewart,Southern|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-u.svg,1B,1.16,1.00,9,-0.01,0.13,0.04,-,-,0,-,-,,-,-,-,-,"New Roads, LA, US",0,"6' 3""",215,SO,30,Southern University,SOU,Southern,BBC
Colton Kennedy,Utah Valley|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/utah-valley.svg,P,1.16,-,0,-,-,-,1.16,-,0,-,-,,-,-,-,-,"Kirkland, WA, US",22,"6' 0""",195,SR,11,Utah Valley University,UVU,Utah Valley,BBC
Jackson McCoy,Murray State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/murray-st.svg,RF,1.16,-,0,-,-,-,-,1.16,4,-,-,,-,-,-,-,"Booneville, MS, US",0,"6' 3""",205,R-SR,3,Murray State University,MURR,Murray State,BBC
Jax Ryan,Missouri State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/missouri-st.svg,RF,1.16,-,0,-,-,-,-,0.26,31,0.90,-,,-,-,-,-,"Verdigris, OK, US",21,"6' 1""",185,JR,4,Missouri State University,MOSU,Missouri State,BBC
Jonathan Xuereb,Appalachian State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/appalachian-st.svg,SS,1.16,0.44,29,0.42,0.28,0.02,-,-,0,-,-,,-,-,-,-,"Boca Raton, FL, US",22,"6' 1""",212,R-JR,9,Appalachian State University,APP,Appalachian State,BBC
Tucker Timmerman,Nebraska|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/nebraska.svg,P,1.16,0.82,5,0.12,-,-,0.22,-,0,-,-,,-,-,-,-,"Beatrice, NE, US",21,"6' 3""",220,JR,32,University of Nebraska,NEB,Nebraska,BBC
Cooper Vance,Oregon State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/oregon-st.svg,3B,1.16,0.35,6,-0.03,-,0.01,0.83,-,0,-,-,,-,-,-,-,"New Waterford, OH, US",22,"6' 0""",190,SR,1,Oregon State University,ORST,Oregon State,BBC
Tyler Zedalis,Old Dominion|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/old-dominion.svg,3B,1.16,0.43,54,0.07,-,0.05,0.61,-,0,-,-,,-,-,-,-,"Charlotte, NC, US",21,"6' 2""",215,JR,12,Old Dominion University,ODU,Old Dominion,BBC
Jackson Forbes,Arizona|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arizona.svg,LF,1.16,-,0,-,-,-,-,1.16,23,-,-,,-,-,-,-,"Peoria, AZ, US",0,"5' 11""",0,FR,44,University of Arizona,ARIZ,Arizona,BBC
Austin Killingsworth,Georgia State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/georgia-st.svg,RF,1.16,-,0,-,-,-,-,1.16,65,-,-,,-,-,-,-,"Brooks, GA, US",20,"5' 9""",170,SO,17,Georgia State University,GAST,Georgia State,BBC
Jesse Gutierrez,San Jose State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/san-jose-st.svg,P,1.16,0.44,4,0.00,0.00,-,0.72,-,0,-,-,,-,-,-,-,"Santa Clara, CA, US",21,"6' 0""",200,SR,14,San Jose State University,SJSU,San Jose State,BBC
Cameron Johnson,Oklahoma|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/oklahoma.svg,P,1.16,1.04,7,0.11,-,-,-,-,0,-,-,,-,-,-,-,"Upper Marlboro, MD, US",21,"6' 6""",250,JR,31,University of Oklahoma,OKLA,Oklahoma,BBC
Brayden Sharp,Rice|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/rice.svg,P,1.15,0.25,1,-,-,0.01,0.89,-,0,-,-,,-,-,-,-,"The Woodlands, TX, US",21,"6' 2""",171,R-SO,35,Rice University,RICE,Rice,BBC
Jorge Cartagena,Indiana State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/indiana-st.svg,LF,1.15,-,0,-,-,-,-,1.03,18,0.12,-,,-,-,-,-,,,,,,,,,,
Landon Polk,UNC Greensboro|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/unc-greensboro.svg,LF,1.15,-,0,-,-,-,-,1.15,4,-,-,,-,-,-,-,"Concord, NC, US",0,"6' 0""",0,SO,17,UNC Greensboro,UNCG,UNC Greensboro,BBC
Keon Moseni,Central Arkansas|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/central-ark.svg,1B,1.15,1.16,9,-0.01,0.00,-,-,-,0,-,-,,-,-,-,-,"Ontario, Alberta, CAN",23,"6' 0""",185,SR,16,University of Central Arkansas,CARK,Central Arkansas,BBC
Logan Wilson,Northern Kentucky|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/northern-ky.svg,P,1.15,0.99,9,-0.03,-,-,0.18,-,0,-,-,,-,-,-,-,"Erlanger, KY, US",0,"6' 0""",190,SR,32,Northern Kentucky University,NKU,Northern Kentucky,BBC
Cole Huett,Bellarmine|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bellarmine.svg,CF,1.15,-,0,-,-,-,-,0.99,125,0.16,-,,-,-,-,-,"Corydon, IN, US",0,"6' 0""",195,FR,36,Bellarmine University,BU,Bellarmine,BBC
JoJo Keldsen,Southeast Missouri|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/southeast-mo-st.svg,P,1.15,0.45,3,0.34,0.00,-,0.36,-,0,-,-,,-,-,-,-,"Watsonville, CA, US",0,"6' 4""",215,JR,9,Southeast Missouri State University,SEMO,Southeast Missouri State,BBC
Brody Linker,Presbyterian|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/presbyterian.svg,SS,1.15,1.04,37,-0.01,0.07,0.05,-,-,0,-,-,,-,-,-,-,"Anderson, SC, US",20,"6' 3""",195,SO,21,Presbyterian College,PRE,Presbyterian,BBC
Aaron Grant,Arkansas-Pine Bluff|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ark-pine-bluff.svg,2B,1.14,0.63,44,-0.09,0.54,0.06,-,-,0,-,-,,-,-,-,-,"Savannah, TX, US",0,"6' 1""",0,FR,42,University of Arkansas-Pine Bluff,ARPB,Arkansas-Pine Bluff,BBC
Will Burgess,College of Charleston|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/col-of-charleston.svg,3B,1.14,1.16,16,-0.04,-,0.02,-,-,0,-,-,,-,-,-,-,"Lexington, SC, US",0,"6' 3""",190,R-FR,37,College of Charleston,COFC,College of Charleston,BBC
Mikey Pickett,Fresno State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/fresno-st.svg,SS,1.14,0.98,19,0.11,-,0.05,-,-,0,-,-,,-,-,-,-,"Fremont, CA, US",0,"5' 11""",190,FR,13,Fresno State,FRES,Fresno State,BBC
Cooper Collins,Davidson|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/davidson.svg,2B,1.14,1.22,24,-0.11,0.02,0.01,-,-,0,-,-,,-,-,-,-,"Gainesville, FL, US",0,"5' 11""",170,SO,8,Davidson College,DAV,Davidson,BBC
Connor Lane,Connecticut|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uconn.svg,C,1.14,0.03,1,-,-,-,0.20,-,0,-,0.63,106,0.49,-0.20,0.00,-0.20,"Old Saybrook, CT, US",0,"6' 2""",212,SO,11,University of Connecticut,CONN,Connecticut,BBC
Drake Bicknell,UC San Diego|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uc-san-diego.svg,C,1.14,-,0,-,-,-,-0.64,-,0,-,1.12,138,0.60,0.06,0.00,0.06,"El Dorado Hills, CA, US",23,"5' 11""",190,GRAD,22,UC San Diego,UCSD,UC San Diego,BBC
Aidan Flinn,Illinois|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/illinois.svg,P,1.14,0.49,3,-,-,-,0.65,-,0,-,-,,-,-,-,-,"Mokena, IL, US",0,"6' 6""",195,FR,15,University of Illinois,ILL,Illinois,BBC
Tristan Salinas,Rutgers|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/rutgers.svg,2B,1.14,1.14,17,-0.08,0.06,0.01,-,-,0,-,-,,-,-,-,-,"Boone, NC, US",21,"6' 2""",200,R-SO,36,Rutgers University,RUTG,Rutgers,BBC
Conor Myles,UTSA|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/utsa.svg,P,1.14,1.09,8,0.08,-,0.03,-0.06,-,0,-,-,,-,-,-,-,"Melbourne, AU",25,"6' 4""",220,GRAD,51,UTSA,UTSA,UTSA,BBC
Austin Sellers,Georgia State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/georgia-st.svg,2B,1.14,0.79,9,0.08,0.26,-,-,-,0,-,-,,-,-,-,-,"Fayetteville, GA, US",20,"5' 11""",180,SO,12,Georgia State University,GAST,Georgia State,BBC
Tyler Alleman,Santa Clara|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/santa-clara.svg,P,1.14,1.01,4,0.13,-,-,-,-,0,-,-,,-,-,-,-,"Portland, OR, US",21,"6' 0""",190,R-SO,29,Santa Clara University,SCU,Santa Clara,BBC
Nate Kugler,Dartmouth|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/dartmouth.svg,P,1.14,1.11,7,-0.08,-,0.01,0.09,-,0,-,-,,-,-,-,-,"Studio City, CA, US",0,"6' 1""",208,SO,13,Dartmouth College,DART,Dartmouth,BBC
Jack Counsell,Northwestern|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/northwestern.svg,2B,1.14,0.86,21,0.15,0.12,0.01,-,-,0,-,-,,-,-,-,-,"Whitefish Bay, WI, US",21,"6' 0""",180,JR,6,Northwestern University,NW,Northwestern,BBC
Antonio Gianni,New Mexico|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/new-mexico.svg,RF,1.14,-,0,-,-,-,-,-0.27,31,1.42,-,,-,-,-,-,"Cave Creek, AZ, US",0,"5' 10""",175,JR,9,University of New Mexico,UNM,New Mexico,BBC
Logen Sutton,Campbell|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/campbell.svg,2B,1.13,0.77,20,0.17,0.19,-,-,-,0,-,-,,-,-,-,-,"Knoxville, TN, US",0,"6' 1""",200,R-JR,19,Campbell University,CAMP,Campbell,BBC
Justin Nadeau,Florida|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/florida.svg,2B,1.13,0.61,9,-0.03,0.53,0.01,-,-,0,-,-,,-,-,-,-,"St John's, FL, US",22,"6' 0""",195,SR,1,University of Florida,FLA,Florida,BBC
Anthony Ruocco,UNC Greensboro|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/unc-greensboro.svg,2B,1.13,1.16,26,0.01,-0.04,-,-,-,0,-,-,,-,-,-,-,"Lake Helen, FL, US",0,"5' 9""",185,JR,2,UNC Greensboro,UNCG,UNC Greensboro,BBC
Logan Mock,Nicholls|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/nicholls-st.svg,C,1.13,-,0,-,-,-,-,-,0,-,1.75,166,-0.28,-0.34,-,-0.34,"Livermore, CA, US",22,"5' 10""",190,GRAD,13,Nicholls State University,NICH,Nicholls State,BBC
Dennis Gamester,San Jose State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/san-jose-st.svg,C,1.13,-,0,-,-,0.01,0.17,-,0,-,0.24,96,0.59,0.12,-,0.12,"West Haven, CT, US",23,"6' 0""",195,GRAD,10,San Jose State University,SJSU,San Jose State,BBC
Garrett Helsel,Xavier|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/xavier.svg,P,1.13,0.25,1,-,-,-,0.88,-,0,-,-,,-,-,-,-,"Blacklick, OH, US",21,"6' 5""",240,SR,19,Xavier University,XAV,Xavier,BBC
Joey Calabretti,St. Bonaventure|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/st-bonaventure.svg,LF,1.13,-,0,-,-,-,-,1.01,83,0.12,-,,-,-,-,-,"Perkasie, PA, US",22,"6' 2""",180,JR,13,St. Bonaventure University,SBON,St. Bonaventure,BBC
