Rank,teamId,teamName,team,teamFullName,location,teamAbbrevName,teamLevel,synergyTeamId,newestTeamId,newestTeamLevel,newestTeamName,newestTeamAbbrevName,newestTeamLocation,Conf
1,614644346,Indians,South Carolina Salkehatchie,South Carolina Salkehatchie,South Carolina Salkehatchie,SCS,BBC,,614644346,BBC,Indians,SCS,South Carolina Salkehatchie,NJCAA D1 Region 10
1,598888124,Bantams,South Carolina Union,South Carolina Union,South Carolina Union,SCU,BBC,,598888124,BBC,Bantams,SCU,South Carolina Union,NJCAA D1 Region 10
1,991167963,Bobcats,Frontier College,Frontier College,Frontier College,FRON,BBC,,991167963,BBC,Bobcats,FRON,Frontier College,NJCAA D1 Region 24
1,587470206,Blue Knights,Olney Central College,Olney Central College,Olney Central College,OCC,BBC,,587470206,BBC,Blue Knights,OCC,Olney Central College,NJCAA D1 Region 24
1,887418939,Blue Devils,Kaskaskia College,Kaskaskia College,Kaskaskia College,KASK,BBC,,887418939,BBC,Blue Devils,KASK,Kaskaskia College,NJCAA D1 Region 24
1,691224371,Cougars,Western Nebraska CC,Western Nebraska CC,Western Nebraska CC,WNCC,BBC,,691224371,BBC,Cougars,WNCC,Western Nebraska CC,NJCAA D1 Region 9
1,983181069,Statesmen,Kennedy-King College,Kennedy-King College,Kennedy-King College,KKC,BBC,,983181069,BBC,Statesmen,KKC,Kennedy-King College,NJCAA D1 Region 4
1,790010895,Monarchs,Metropolitan CC Maple Woods,Metropolitan CC Maple Woods,Metropolitan CC Maple Woods,MCCM,BBC,,790010895,BBC,Monarchs,MCCM,Metropolitan CC Maple Woods,NJCAA D1 Region 16
1,745004034,Saints,Shawnee CC,Shawnee CC,Shawnee CC,SCC,BBC,,745004034,BBC,Saints,SCC,Shawnee CC,NJCAA D1 Region 24
1,615134625,Falcons,Southeastern Illinois College,Southeastern Illinois College,Southeastern Illinois College,SIC,BBC,,615134625,BBC,Falcons,SIC,Southeastern Illinois College,NJCAA D1 Region 24
