Rank,teamId,teamName,team,teamFullName,location,teamAbbrevName,teamLevel,synergyTeamId,newestTeamId,newestTeamLevel,newestTeamName,newestTeamAbbrevName,newestTeamLocation,Conf
1,504545035,Spirit,Ottawa (AZ),Ottawa (AZ),Ottawa (AZ),OAZ,BBC,,504545035,BBC,Spirit,OAZ,Ottawa (AZ),NAIA Great Southwest Athletic Conference
1,788326082,Rams,Texas Wesleyan,Texas Wesleyan,Texas Wesleyan,TEXA,BBC,,788326082,BBC,Rams,TEXA,Texas Wesleyan,NAIA Sooner
1,630440960,Siena Heights,Siena Heights,Siena Heights,Siena Heights,SH,BBC,,630440960,BBC,Siena Heights,SH,Siena Heights,NAIA Wolverine-Hoosier Athletic
1,690391552,Reinhardt,Reinhardt,Reinhardt University,Reinhardt,RU,BBC,,690391552,BBC,Reinhardt,RU,Reinhardt,NAIA Appalachian
1,630447104,Mount Marty,Mount Marty,Mount Marty College,Mount Marty,MMC,BBC,,630447104,BBC,Mount Marty,MMC,Mount Marty,NAIA Great Plains
1,727881441,Cougars,St. Francis (IN),St. Francis (IN),St. Francis (IN),SFIN,BBC,,727881441,BBC,Cougars,SFIN,St. Francis (IN),NAIA Crossroads League
1,975709672,Steers,Texas College,Texas College,Texas College,TEXA,BBC,,975709672,BBC,Steers,TEXA,Texas College,NAIA Red River
1,737261824,Cougars,Indiana Kokomo,Indiana Kokomo,Indiana Kokomo,INDI,BBC,,737261824,BBC,Cougars,INDI,Indiana Kokomo,NAIA River States
1,560586676,Golden Eagles,Cornerstone,Cornerstone,Cornerstone,CORN,BBC,,560586676,BBC,Golden Eagles,CORN,Cornerstone,NAIA Wolverine-Hoosier Athletic
1,538383968,Racers,Northwestern Ohio,Northwestern Ohio,Northwestern Ohio,NORT,BBC,,538383968,BBC,Racers,NORT,Northwestern Ohio,NAIA Wolverine-Hoosier Athletic
1,541603072,Pride,Clarke,Clarke,Clarke,CLAR,BBC,,541603072,BBC,Pride,CLAR,Clarke,NAIA Heart of America
1,646262255,Trojans,Dakota State,Dakota State,Dakota State,DAKO,BBC,,646262255,BBC,Trojans,DAKO,Dakota State,NAIA Frontier
1,662683004,Bees,St. Ambrose,St. Ambrose,St. Ambrose,ST.,BBC,,662683004,BBC,Bees,ST.,St. Ambrose,NAIA Chicagoland
1,519147839,Eagles,Embry-Riddle (AZ),Embry-Riddle (AZ),Embry-Riddle (AZ),ERAZ,BBC,,519147839,BBC,Eagles,ERAZ,Embry-Riddle (AZ),NAIA Great Southwest Athletic Conference
1,706708992,Webber International,Webber International,Webber International University,Webber International,WIU,BBC,,706708992,BBC,Webber International,WIU,Webber International,NAIA The Sun
1,774790790,Gyrenes,Ave Maria,Ave Maria,Ave Maria,AVE,BBC,,774790790,BBC,Gyrenes,AVE,Ave Maria,NAIA The Sun
1,663584644,Bruins,Bellevue,Bellevue,Bellevue,BELL,BBC,,663584644,BBC,Bruins,BELL,Bellevue,NAIA Frontier
1,590203779,Ravens,Benedictine (KS),Benedictine (KS),Benedictine (KS),BKS,BBC,,590203779,BBC,Ravens,BKS,Benedictine (KS),NAIA Heart of America
1,652802060,Wildcats,Culver Stockton,Culver Stockton,Culver Stockton,CULV,BBC,,652802060,BBC,Wildcats,CULV,Culver Stockton,NAIA Heart of America
1,608976896,Eagles,Midway,Midway,Midway,MIDW,BBC,,608976896,BBC,Eagles,MIDW,Midway,NAIA River States
1,621501534,Warriors,Waldorf,Waldorf,Waldorf,WALD,BBC,,621501534,BBC,Warriors,WALD,Waldorf,NAIA Great Plains
1,810249525,Peregrines,Calumet,Calumet,Calumet,CALU,BBC,,810249525,BBC,Peregrines,CALU,Calumet,NAIA Chicagoland
1,527246726,Tigers,Campbellsville,Campbellsville,Campbellsville,CAMP,BBC,,527246726,BBC,Tigers,CAMP,Campbellsville,NAIA Mid-South
1,571897722,Blue Raiders,Lindsey Wilson,Lindsey Wilson,Lindsey Wilson,LIND,BBC,,571897722,BBC,Blue Raiders,LIND,Lindsey Wilson,NAIA Mid-South
1,523766192,Bobcats,Peru State,Peru State,Peru State,PERU,BBC,,523766192,BBC,Bobcats,PERU,Peru State,NAIA Heart of America
1,740455573,Eagles,Central Methodist,Central Methodist,Central Methodist,CENT,BBC,,740455573,BBC,Eagles,CENT,Central Methodist,NAIA Heart of America
1,699129085,Bulldogs,Concordia (NE),Concordia (NE),Concordia (NE),CNE,BBC,,699129085,BBC,Bulldogs,CNE,Concordia (NE),NAIA Great Plains
1,663391038,Phoenix,Cumberland,Cumberland,Cumberland,CUMB,BBC,,663391038,BBC,Phoenix,CUMB,Cumberland,NAIA Mid-South
1,517454790,Yellow Jackets,Defiance,Defiance College,Defiance,DEFI,BBC,,517454790,BBC,Yellow Jackets,DEFI,Defiance,NAIA Wolverine-Hoosier Athletic
1,606507893,Wolverines,Michigan Dearborn,Michigan Dearborn,Michigan Dearborn,MICH,BBC,,606507893,BBC,Wolverines,MICH,Michigan Dearborn,NAIA Wolverine-Hoosier Athletic
1,639698944,Dickinson State University (ND),Dickinson State University (ND),Dickinson State University (ND),Dickinson State University (ND),DSND,BBC,,639698944,BBC,Dickinson State University (ND),DSND,Dickinson State University (ND),NAIA Frontier
1,784775888,Grizzlies,Georgia Gwinnett,Georgia Gwinnett,Georgia Gwinnett,GEOR,BBC,,784775888,BBC,Grizzlies,GEOR,Georgia Gwinnett,NAIA Continental Athletic Conference
1,637182720,Tigers,Georgetown College,Georgetown College,Georgetown College,GEOR,BBC,,637182720,BBC,Tigers,GEOR,Georgetown College,NAIA Mid-South
1,766104048,Lions,Freed-Hardeman,Freed-Hardeman,Freed-Hardeman,FREE,BBC,,766104048,BBC,Lions,FREE,Freed-Hardeman,NAIA Mid-South
1,697176064,Indiana Institute of Technology,Indiana Institute of Technology,Indiana Institute of Technology,Indiana Institute of Technology,INT,BBC,,697176064,BBC,Indiana Institute of Technology,INT,Indiana Institute of Technology,NAIA Wolverine-Hoosier Athletic
1,509664527,Cougars,Spring Arbor,Spring Arbor,Spring Arbor,SPRI,BBC,,509664527,BBC,Cougars,SPRI,Spring Arbor,NAIA Crossroads League
1,787509562,Wildcats,Indiana Wesleyan,Indiana Wesleyan,Indiana Wesleyan,INDI,BBC,,787509562,BBC,Wildcats,INDI,Indiana Wesleyan,NAIA Crossroads League
1,672924928,Judson,Judson,Judson University,Judson,JUD,BBC,,672924928,BBC,Judson,JUD,Judson,NAIA Chicagoland
1,760709651,Titans,Indiana South Bend,Indiana South Bend,Indiana South Bend,ISB,BBC,,760709651,BBC,Titans,ISB,Indiana South Bend,NAIA Chicagoland
1,578491117,Crimson Pride,Indiana Columbus,Indiana Columbus,Indiana Columbus,INDI,BBC,,578491117,BBC,Crimson Pride,INDI,Indiana Columbus,NAIA River States
1,623250875,Pilots,Louisiana State Shreveport,Louisiana State Shreveport,Louisiana State Shreveport,LSS,BBC,,623250875,BBC,Pilots,LSS,Louisiana State Shreveport,NAIA Red River
